Table,Sheet,Field,Type,Position,ZH,VN,TH
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1419,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1442,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1464,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1486,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1509,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1531,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1553,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1576,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1598,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1620,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1642,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1664,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1686,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1708,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1730,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1752,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1774,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1796,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1818,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1840,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1862,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1884,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1906,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1928,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1950,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1972,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1994,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E2016,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E2038,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E2060,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E2082,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E2104,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E2126,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E2148,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E2170,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E2192,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E2214,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G7,棍荡江湖-江湖赠礼,Diệm Nỏ Thần Uy-Thần Cơ Tặng Quà,Diệm Nỏ Thần Uy-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G12,Phục Hy Loạn Thế-Thần Cơ Tặng Quà,Phục Hy Loạn Thế-Thần Cơ Tặng Quà,Phục Hy Loạn Thế-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G17,Lam Vũ Diệu Thế-Thần Cơ Tặng Quà,Lam Vũ Diệu Thế-Thần Cơ Tặng Quà,Lam Vũ Diệu Thế-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G22,Thiên Kim Thần Binh-Thần Cơ Tặng Quà,Thiên Kim Thần Binh-Thần Cơ Tặng Quà,Thiên Kim Thần Binh-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G27,Huyền Cơ Linh Tán-Thần Cơ Tặng Quà,Huyền Cơ Linh Tán-Thần Cơ Tặng Quà,Huyền Cơ Linh Tán-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G32,Long Linh Hiện Thế-Thần Cơ Tặng Quà,Long Linh Hiện Thế-Thần Cơ Tặng Quà,Long Linh Hiện Thế-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G37,Thái Cực Thần Đồ-Thần Cơ Tặng Quà,Thái Cực Thần Đồ-Thần Cơ Tặng Quà,Thái Cực Thần Đồ-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G42,Hội Thế Sơn Hà-Thần Cơ Tặng Quà,Hội Thế Sơn Hà-Thần Cơ Tặng Quà,Hội Thế Sơn Hà-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G47,Tạo Thế Thần Nông-Thần Cơ Tặng Quà,Tạo Thế Thần Nông-Thần Cơ Tặng Quà,Tạo Thế Thần Nông-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G52,Thất Bảo Linh Lung-Thần Cơ Tặng Quà,Thất Bảo Linh Lung-Thần Cơ Tặng Quà,Thất Bảo Linh Lung-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G57,Tụ Bảo Càn Khôn-Thần Cơ Tặng Quà,Tụ Bảo Càn Khôn-Thần Cơ Tặng Quà,Tụ Bảo Càn Khôn-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G62,Tiềm Long Đằng Uyên-Thần Cơ Tặng Quà,Tiềm Long Đằng Uyên-Thần Cơ Tặng Quà,Tiềm Long Đằng Uyên-Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G68,Thục Quân Lâm Triều-Hoàng Thúc Tặng Phúc,Thục Quân Lâm Triều-Hoàng Thúc Tặng Phúc,Thục Quân Lâm Triều-Hoàng Thúc Tặng Phúc
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G73,Ngụy Đế Quân Lâm-Ân Trạch Ngụy Võ,Ngụy Đế Quân Lâm-Ân Trạch Ngụy Võ,Ngụy Đế Quân Lâm-Ân Trạch Ngụy Võ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G79,Đại Tiệc Quốc Khánh-Vui Rút Thẻ,Đại Tiệc Quốc Khánh-Vui Rút Thẻ,Đại Tiệc Quốc Khánh-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G101,Đại Tiệc Quốc Khánh-Vui Rút Thẻ,Đại Tiệc Quốc Khánh-Vui Rút Thẻ,Đại Tiệc Quốc Khánh-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G123,Đại Tiệc Quốc Khánh-Vui Rút Thẻ,Đại Tiệc Quốc Khánh-Vui Rút Thẻ,Đại Tiệc Quốc Khánh-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G146,Đại Tiệc Trung Thu-Vui Rút Thẻ,Đại Tiệc Trung Thu-Vui Rút Thẻ,Đại Tiệc Trung Thu-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G168,Đại Tiệc Trung Thu-Vui Rút Thẻ,Đại Tiệc Trung Thu-Vui Rút Thẻ,Đại Tiệc Trung Thu-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G190,Đại Tiệc Trung Thu-Vui Rút Thẻ,Đại Tiệc Trung Thu-Vui Rút Thẻ,Đại Tiệc Trung Thu-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G213,Đại Tiệc Mùa Thu-Vui Rút Thẻ,Đại Tiệc Mùa Thu-Vui Rút Thẻ,Đại Tiệc Mùa Thu-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G235,Đại Tiệc Mùa Thu-Vui Rút Thẻ,Đại Tiệc Mùa Thu-Vui Rút Thẻ,Đại Tiệc Mùa Thu-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G257,Đại Tiệc Mùa Thu-Vui Rút Thẻ,Đại Tiệc Mùa Thu-Vui Rút Thẻ,Đại Tiệc Mùa Thu-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G280,Ngày Phụ Nữ-Vui Rút Thẻ,Ngày Phụ Nữ-Vui Rút Thẻ,Ngày Phụ Nữ-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G302,Ngày Phụ Nữ-Vui Rút Thẻ,Ngày Phụ Nữ-Vui Rút Thẻ,Ngày Phụ Nữ-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G324,Ngày Phụ Nữ-Vui Rút Thẻ,Ngày Phụ Nữ-Vui Rút Thẻ,Ngày Phụ Nữ-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G347,Quà Nữ Thần-Điểm Nữ Thần,Quà Nữ Thần-Điểm Nữ Thần,Quà Nữ Thần-Điểm Nữ Thần
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G382,Chúc Phúc Mùa Xuân-Điểm Đầu Xuân,Chúc Phúc Mùa Xuân-Điểm Đầu Xuân,Chúc Phúc Mùa Xuân-Điểm Đầu Xuân
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G417,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G452,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G487,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G522,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G557,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G592,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G626,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G661,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G696,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G731,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G766,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G801,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G836,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G871,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận,Hồng Vận Tặng Phúc-Điểm Hồng Vận
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G906,Vui Halloween-Vui Rút Thẻ,Vui Halloween-Vui Rút Thẻ,Vui Halloween-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G928,Vui Halloween-Vui Rút Thẻ,Vui Halloween-Vui Rút Thẻ,Vui Halloween-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G950,Vui Halloween-Vui Rút Thẻ,Vui Halloween-Vui Rút Thẻ,Vui Halloween-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G973,Ngày Nhà Giáo-Vui Rút Thẻ,Ngày Nhà Giáo-Vui Rút Thẻ,Ngày Nhà Giáo-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G995,Ngày Nhà Giáo-Vui Rút Thẻ,Ngày Nhà Giáo-Vui Rút Thẻ,Ngày Nhà Giáo-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G1017,Ngày Nhà Giáo-Vui Rút Thẻ,Ngày Nhà Giáo-Vui Rút Thẻ,Ngày Nhà Giáo-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G1040,Đại Tiệc Mùa Đông-Vui Rút Thẻ,Đại Tiệc Mùa Đông-Vui Rút Thẻ,Đại Tiệc Mùa Đông-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G1062,Đại Tiệc Mùa Đông-Vui Rút Thẻ,Đại Tiệc Mùa Đông-Vui Rút Thẻ,Đại Tiệc Mùa Đông-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G1084,Đại Tiệc Mùa Đông-Vui Rút Thẻ,Đại Tiệc Mùa Đông-Vui Rút Thẻ,Đại Tiệc Mùa Đông-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G1107,Vui Năm Mới-Vui Rút Thẻ,Vui Năm Mới-Vui Rút Thẻ,Vui Năm Mới-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G1129,Vui Năm Mới-Vui Rút Thẻ,Vui Năm Mới-Vui Rút Thẻ,Vui Năm Mới-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G1151,Vui Năm Mới-Vui Rút Thẻ,Vui Năm Mới-Vui Rút Thẻ,Vui Năm Mới-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G1174,Đại Tiệc Ngày Tết-Vui Rút Thẻ,Đại Tiệc Ngày Tết-Vui Rút Thẻ,Đại Tiệc Ngày Tết-Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des,后端,G1196,Đại Tiệc Ngày Tết-Vui Rút Thẻ,Đại Tiệc Ngày Tết-Vui Rút Thẻ,Đại Tiệc Ngày Tết-Vui Rút Thẻ
